Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"JZ 34929, 34929",Kansas (2),Point Of Know Return,"Kirshner, Kirshner","LP, Album, Ter",,1977,788029,Uncategorized,2016-12-08 19:40:18,,,
"MC 66669, MS 66669","Emerson, Lake & Palmer",Brain Salad Surgery,"Manticore, Manticore","LP, Album, SRC",,1973,394452,Uncategorized,2014-07-21 09:01:48,,,
MCA 2-8000,Neil Diamond,Hot August Night,MCA Records,"2xLP, Album, Glo",,1972,2462950,Uncategorized,2014-07-21 08:57:23,,,
MCA-2106,Neil Diamond,His 12 Greatest Hits,MCA Records,"LP, Comp",,1974,1512399,Uncategorized,2014-07-21 08:52:55,,,
MCA-5838,Kansas (2),Power,MCA Records,"LP, Album, Eur",,1986,1700178,Uncategorized,2014-07-21 07:57:12,,,
"MCA2-6895, MCA2-10004",The Who,Quadrophenia,"MCA Records, MCA Records","2xLP, Album, RE, Pin",,1980,3265936,Uncategorized,2014-07-21 08:55:34,,,
SRM-1-1184,Rush,A Farewell To Kings,Mercury,"LP, Album, Gat",,1977,625567,Uncategorized,2014-07-21 08:43:50,,,
"SRM-1-646, SRM 1 646",Rod Stewart,Never A Dull Moment,"Mercury, Mercury","LP, Album",,1972,1343661,Uncategorized,2014-07-21 08:14:21,,,
MEX207,Dungen,Allas Sak,Mexican Summer,"LP, Album, Ltd",,2015,7550381,Uncategorized,2016-12-08 19:16:51,Mint (M),Mint (M),
MOVLP1221,Medeski Scofield Martin & Wood,Juice,Music On Vinyl,"2xLP, Album, 180",,2014,6195714,Uncategorized,2016-12-08 18:52:11,Mint (M),Mint (M),The inside sleeve is signed by all four members
MTR 7515 1,Ayreon,The Source,"Music Theories Recordings, Mascot Label Group","2xLP, Album",,2017,10159317,Uncategorized,2017-08-12 20:25:08,,,
none,Fret Rattles,Pedal To The Metal And Damn The Consequences,Not On Label (Fret Rattles Self-Released),"LP, Album",,2016,9065399,Uncategorized,2017-05-11 11:55:56,,,
none,Umphrey's McGee,Hall of Fame: Class of 2014,Nothing Too Fancy Music,"2xLP, Album, Comp, Red",,2015,7827640,Uncategorized,2016-12-08 19:09:32,Mint (M),Mint (M),
none,Umphrey's McGee,Hall Of Fame: Class Of 2013,Nothing Too Fancy Music,"LP, Album, Cle",,2014,6307832,Uncategorized,2016-12-08 19:24:56,Mint (M),Mint (M),
umN2F101,Umphrey's McGee,Similar Skin,Nothing Too Fancy Music,2xLP,,2014,5783225,Uncategorized,2014-07-21 08:03:27,,,
umN2F114,Umphrey's McGee,Mantis,Nothing Too Fancy Music,"LP, Album, RM, Gre",,2017,10784604,Uncategorized,2018-01-27 17:48:59,,,
